ID_Transacao,Data_Hora_Transacao,Valor_Reembolso,Quantidade_Combustivel,Preco_Combustivel,ID_Veiculo,Consumo_Medio_Veiculo,Distancia_Percorrida,ID_Condutor,Num_Reembolsos_Recentes,Probabilidade_Fraude
1,2024-01-01 04:23:15,"108,51","18,8","5,78",134,"11,5","215,9",1072,2,0
2,2024-01-01 02:04:09,"275,63","37,6","7,34",191,"9,6","360,5",1021,4,0
3,2024-01-02 00:59:59,"135,47",19,"7,13",171,"11,8","224,2",1048,0,0
4,2024-01-01 20:44:14,"170,27","22,9","7,45",131,9,"205,7",1049,4,0
5,2024-01-01 09:03:43,"198,54","30,2","6,57",167,"14,1","426,1",1079,2,0
6,2024-01-02 08:02:14,"42,3","7,5","5,62",170,"12,7","95,6",1003,2,0
7,2024-01-01 21:18:51,"127,75","23,6","5,41",138,15,"354,2",1049,2,0
8,2024-01-02 01:04:18,"102,98","18,8","5,47",147,"8,6","161,9",1002,3,0
9,2024-01-02 07:23:00,"29,68","5,9","5,05",190,"9,7",57,1015,1,0
10,2024-01-01 20:55:29,"53,01","8,9","5,98",136,"14,1",125,1013,2,0
11,2024-01-02 05:43:06,"163,89","29,9","5,48",159,"10,8",323,1063,9,"0,279"
12,2024-01-02 14:48:27,"320,5","53,2","6,03",180,"11,3","369,1",1040,6,1
13,2024-01-02 15:58:15,"50,76","6,9","7,34",173,14,"59,5",1067,6,1
14,2024-01-02 00:00:34,"34,51","5,7","6,08",103,"11,7","66,4",1058,1,0
15,2024-01-02 18:13:10,"348,87","48,5","7,19",122,"9,4","456,1",1001,2,0
16,2024-01-02 20:56:39,"38,05","5,8","6,51",113,"14,2",83,1009,1,0
17,2024-01-02 23:19:19,"310,06","55,2","5,62",104,"8,2","452,4",1074,2,0
18,2024-01-03 01:59:53,"62,9","10,7","5,89",165,"14,3","152,7",1089,4,0
19,2024-01-02 10:25:24,"237,55","45,6","5,21",123,"8,4",383,1025,1,0
20,2024-01-03 09:51:47,"141,48","24,3","5,83",117,"12,7","189,4",1003,6,1
21,2024-01-03 03:31:39,"343,47","51,3","6,69",126,"8,5","436,4",1089,2,0
22,2024-01-03 14:08:07,"238,62","46,1","5,18",123,"12,9","365,2",1027,7,1
23,2024-01-03 00:14:25,"155,09","28,1","5,51",128,"8,2","230,8",1001,3,0
24,2024-01-03 14:04:53,"36,09","6,1","5,95",110,"13,9","84,3",1065,2,0
25,2024-01-03 03:03:29,"250,67","33,6","7,46",117,"11,3","379,7",1015,1,0
26,2024-01-03 21:13:39,"262,08","37,7","6,96",103,"8,7","327,6",1056,2,0
27,2024-01-03 04:42:41,"27,16",4,"6,83",132,"12,9","51,3",1022,2,0
28,2024-01-03 02:11:07,"25,15","4,8","5,29",177,"11,4","54,2",1022,1,0
29,2024-01-03 19:41:00,"309,39","44,5","6,95",141,"9,3",414,1076,4,0
