Consumo Médio de Combustível (km/l),Distância Percorrida (km),Preço do Combustível (R$/litro),Frequência de Abastecimentos por Semana,Custo_Total_Abastecimento,Fraude,Fraude_Numerica
3.31,267.94,5.54,5,448.46,Sim,0.7859979391417964
2.39,267.43,4.58,6,512.48,Sim,0.9027161646499932
4.97,349.11,5.02,5,352.62,Sim,0.8800804648950795
4.29,310.59,4.63,8,335.21,Sim,0.5769499523468868
5.43,334.42,5.64,7,347.35,Sim,0.574624734870737
5.71,293.62,4.23,9,217.52,Sim,0.6340871838724567
4.1,228.55,5.81,9,323.87,Sim,0.6805373631705186
4.44,365.89,4.53,8,373.31,Sim,0.7042277907042414
2.78,344.72,5.93,5,735.32,Sim,0.8398486084166726
8.38,282.73,4.35,8,146.76,Sim,0.5283402160829177
5.22,237.18,4.18,9,189.93,Sim,0.5173363521130332
5.11,299.64,5.07,8,297.29,Sim,0.6959552814719545
5.38,232.76,5.02,7,217.18,Sim,0.8485818460689902
4.84,338.82,5.57,6,389.92,Sim,0.5967176714782413
5.37,287.93,4.46,7,239.14,Sim,0.8207522406281258
6.53,328.06,4.46,7,224.07,Sim,0.6299140689701497
2.31,400.33,5.24,9,908.11,Sim,0.9430430544067582
6.22,271.62,5.45,9,238.0,Sim,0.9478449721333082
5.99,333.11,5.47,8,304.19,Sim,0.6486436021406632
5.62,354.48,4.2,5,264.91,Sim,0.6149968769816203
4.24,245.68,5.53,7,320.43,Sim,0.7056519860331156
2.87,371.99,4.4,9,570.3,Sim,0.6202657925900743
7.89,258.91,4.81,9,157.84,Sim,0.8361919216458518
4.16,327.35,5.71,5,449.32,Sim,0.9130323422741428
5.31,182.81,5.19,7,178.68,Sim,0.8365460654556085
6.59,245.36,5.74,5,213.71,Sim,0.9121752236246748
1.42,245.66,5.64,7,975.72,Sim,0.6984960811037371
5.24,328.61,4.87,6,305.41,Sim,0.5781584853544304
3.76,349.15,4.42,7,410.44,Sim,0.868975473698796
6.13,314.79,4.82,9,247.52,Sim,0.6802372525707769
6.46,318.33,4.54,8,223.72,Sim,0.8356354126145662
5.83,353.8,5.16,6,313.14,Sim,0.6353219709908828
5.65,352.07,5.01,9,312.19,Sim,0.5406148174033363
5.32,268.67,5.42,8,273.72,Sim,0.9962908977438816
4.15,301.9,5.28,7,384.1,Sim,0.5781007539652996
5.15,271.14,5.91,9,311.15,Sim,0.9942104969817404
8.52,312.59,4.34,5,159.23,Sim,0.9886399662832236
2.94,341.06,4.66,9,540.59,Sim,0.8969090519540198
7.13,223.09,4.47,8,139.86,Sim,0.8297114810409988
7.14,267.42,5.14,6,192.51,Sim,0.7889035251255423
4.39,235.17,5.08,5,272.13,Sim,0.9330507726889172
5.48,375.82,4.07,7,279.12,Sim,0.6447197608097439
6.05,217.65,5.92,5,212.97,Sim,0.7338406062424385
4.76,218.39,5.96,9,273.45,Sim,0.809694984683251
5.9,303.6,5.82,5,299.48,Sim,0.7055952379347455
5.45,252.22,4.46,6,206.4,Sim,0.713743227045134
3.26,283.01,5.43,5,471.39,Sim,0.6651423337510423
3.96,330.64,5.24,5,437.51,Sim,0.782115908342268
7.94,226.66,5.08,7,145.02,Sim,0.925287264007558
4.42,363.34,5.59,6,459.52,Sim,0.6007641890031564
4.05,387.09,4.3,8,410.98,Sim,0.9672165193767208
6.8,266.83,4.03,5,158.14,Sim,0.8445438268741148
2.17,271.94,4.03,8,505.03,Sim,0.9116366063400152
6.92,391.24,5.06,5,286.08,Sim,0.7780953463150058
3.72,361.96,4.78,5,465.1,Sim,0.8897583507120317
7.69,350.6,4.98,7,227.05,Sim,0.5081001986697335
3.93,343.41,5.94,5,519.05,Sim,0.9091902123897676
3.38,268.51,4.18,8,332.06,Sim,0.5200694295426833
3.66,261.53,5.0,6,357.28,Sim,0.9449566881814312
4.85,321.6,4.99,9,330.88,Sim,0.9959813736193216
2.54,310.96,5.06,7,619.47,Sim,0.6470337310883889
4.93,265.12,4.57,9,245.76,Sim,0.6051592781428968
6.15,315.99,5.2,6,267.18,Sim,0.8826816819290204
6.15,244.11,5.16,9,204.81,Sim,0.6265131704601266
2.33,319.0,5.23,8,716.04,Sim,0.9327811915861016
3.03,343.66,4.76,5,539.88,Sim,0.5514212960787384
3.58,325.7,5.44,9,494.92,Sim,0.5629775981896792
5.14,260.41,5.41,8,274.09,Sim,0.9895757775503078
6.08,308.96,5.58,6,283.55,Sim,0.8369194491350023
3.89,301.18,5.82,8,450.61,Sim,0.9234436122144764
4.97,341.26,5.65,9,387.95,Sim,0.6621646886757591
2.57,265.59,5.09,7,526.01,Sim,0.8382418747603022
3.44,338.92,5.04,8,496.56,Sim,0.7971209136542986
6.34,300.48,5.1,9,241.71,Sim,0.8015750600614735
4.58,295.0,4.55,8,293.07,Sim,0.8412662297688608
6.3,372.95,4.95,6,293.03,Sim,0.7876795865645493
3.48,345.81,5.26,8,522.69,Sim,0.7145311846513329
2.42,309.61,5.23,6,669.12,Sim,0.6379613471902734
4.72,315.39,4.21,7,281.31,Sim,0.884290665456601
5.34,270.13,4.42,8,223.59,Sim,0.6131362150015931
3.11,307.3,4.12,9,407.1,Sim,0.8461771530772071
